c	BiosampleID	BiosampleName	AggregatedBiosampleName	AggregatedBiosampleID	BiosampleType	Age	AgeUnit	Lifestage	Sex
Adipose	11376-118A8	Adipocyte - breast, donor1	Adipocyte - breast	State_001	primary cell	52	year	adult	female
Adipose	11327-117E4	Adipocyte - breast, donor2	Adipocyte - breast	State_001	primary cell	40	year	adult	female
Adipose	11473-119C6	Adipocyte - omental, donor1	Adipocyte - omental	State_002	primary cell	unknown		unknown	unknown
Adipose	11474-119C7	Adipocyte - omental, donor2	Adipocyte - omental	State_002	primary cell	unknown		unknown	unknown
Adipose	11475-119C8	Adipocyte - omental, donor3	Adipocyte - omental	State_002	primary cell	unknown		unknown	unknown
Adipose	11476-119C9	Adipocyte - perirenal, donor1	Adipocyte - perirenal	State_003	primary cell	unknown		unknown	unknown
Adipose	11259-116F8	Adipocyte - subcutaneous, donor1	Adipocyte - subcutaneous	State_004	primary cell	53	year	adult	female
Adipose	11336-117F4	Adipocyte - subcutaneous, donor2	Adipocyte - subcutaneous	State_004	primary cell	41		adult	female
Adipose	11408-118E4	Adipocyte - subcutaneous, donor3	Adipocyte - subcutaneous	State_004	primary cell	42	year	adult	female
Adipose	11467-119B9	Preadipocyte - breast, donor1	Preadipocyte - breast	State_005	primary cell	52	year	adult	female
Adipose	11328-117E5	Preadipocyte - breast, donor2	Preadipocyte - breast	State_005	primary cell	40	year	adult	female
Adipose	11468-119C1	Preadipocyte - omental, donor1	Preadipocyte - omental	State_006	primary cell	58	year	adult	female
Adipose	11329-117E6	Preadipocyte - omental, donor2	Preadipocyte - omental	State_006	primary cell	24	year	adult	female
Adipose	11403-118D8	Preadipocyte - omental, donor3	Preadipocyte - omental	State_006	primary cell	34	year	adult	male
Adipose	11469-119C2	Preadipocyte - perirenal, donor1	Preadipocyte - perirenal	State_007	primary cell	66	year	adult	female
Adipose	11279-116I1	Preadipocyte - subcutaneous, donor1	Preadipocyte - subcutaneous	State_008	primary cell	41	year	adult	female
Adipose	11356-117H6	Preadipocyte - subcutaneous, donor2	Preadipocyte - subcutaneous	State_008	primary cell	53	year	adult	female
Adipose	11428-118G6	Preadipocyte - subcutaneous, donor3	Preadipocyte - subcutaneous	State_008	primary cell	60	year	adult	female
Adipose	11280-116I2	Preadipocyte - visceral, donor1	Preadipocyte - visceral	State_009	primary cell	56	year	adult	female
Adipose	11357-117H7	Preadipocyte - visceral, donor2	Preadipocyte - visceral	State_009	primary cell	59	year	adult	male
Adipose	11429-118G7	Preadipocyte - visceral, donor3	Preadipocyte - visceral	State_009	primary cell	51	year	adult	female
Adipose	10010-101C1	adipose tissue, adult, pool1	adipose tissue, adult	State_010	tissue	65,65,76 	year	adult	mixed
Adipose	10184-103D4	adipose, donor1	adipose tissue, adult	State_010	tissue	43	year	adult	female
Adipose	10185-103D5	adipose, donor2	adipose tissue, adult	State_010	tissue	42	year	adult	female
Adipose	10186-103D6	adipose, donor3	adipose tissue, adult	State_010	tissue	64	year	adult	female
Adipose	10187-103D7	adipose, donor4	adipose tissue, adult	State_010	tissue	28	year	adult	female
Blood & T-cell	12243-129H2	Basophils, donor3	Basophils	State_011	primary cell	unknown		unknown	unknown
Blood & T-cell	11225-116C1	CD4+ T Cells, donor1	CD4+ T Cells	State_012	primary cell	53	year	adult	male
Blood & T-cell	11306-117C1	CD4+ T Cells, donor2	CD4+ T Cells	State_012	primary cell	57	year	adult	male
Blood & T-cell	11382-118B5	CD4+ T Cells, donor3	CD4+ T Cells	State_012	primary cell	26	year	adult	female
Blood & T-cell	11792-124C1	CD4+CD25-CD45RA- memory conventional T cells expanded, donor1	CD4+CD25-CD45RA- memory conventional T cells	State_013	primary cell	25	year	adult	male
Blood & T-cell	11914-125G6	CD4+CD25-CD45RA- memory conventional T cells expanded, donor2	CD4+CD25-CD45RA- memory conventional T cells	State_013	primary cell	23	year	adult	male
Blood & T-cell	11918-125H1	CD4+CD25-CD45RA- memory conventional T cells expanded, donor3	CD4+CD25-CD45RA- memory conventional T cells	State_013	primary cell	23	year	adult	male
Blood & T-cell	11909-125G1	CD4+CD25-CD45RA- memory conventional T cells, donor3	CD4+CD25-CD45RA- memory conventional T cells	State_013	primary cell	23	year	adult	male
Blood & T-cell	11791-124B9	CD4+CD25-CD45RA+ naive conventional T cells expanded, donor1	CD4+CD25-CD45RA+ naive conventional T cells	State_014	primary cell	25	year	adult	male
Blood & T-cell	11913-125G5	CD4+CD25-CD45RA+ naive conventional T cells expanded, donor2	CD4+CD25-CD45RA+ naive conventional T cells	State_014	primary cell	23	year	adult	male
Blood & T-cell	11917-125G9	CD4+CD25-CD45RA+ naive conventional T cells expanded, donor3	CD4+CD25-CD45RA+ naive conventional T cells	State_014	primary cell	23	year	adult	male
Blood & T-cell	11784-124B2	CD4+CD25-CD45RA+ naive conventional T cells, donor1	CD4+CD25-CD45RA+ naive conventional T cells	State_014	primary cell	25	year	adult	male
Blood & T-cell	11795-124C4	CD4+CD25-CD45RA+ naive conventional T cells, donor2	CD4+CD25-CD45RA+ naive conventional T cells	State_014	primary cell	23	year	adult	male
Blood & T-cell	11906-125F7	CD4+CD25-CD45RA+ naive conventional T cells, donor3	CD4+CD25-CD45RA+ naive conventional T cells	State_014	primary cell	23	year	adult	male
Blood & T-cell	11794-124C3	CD4+CD25+CD45RA- memory regulatory T cells expanded, donor1	CD4+CD25+CD45RA- memory regulatory T cells	State_015	primary cell	25	year	adult	male
Blood & T-cell	11916-125G8	CD4+CD25+CD45RA- memory regulatory T cells expanded, donor2	CD4+CD25+CD45RA- memory regulatory T cells	State_015	primary cell	23	year	adult	male
Blood & T-cell	11920-125H3	CD4+CD25+CD45RA- memory regulatory T cells expanded, donor3	CD4+CD25+CD45RA- memory regulatory T cells	State_015	primary cell	23	year	adult	male
Blood & T-cell	11782-124A9	CD4+CD25+CD45RA- memory regulatory T cells, donor1	CD4+CD25+CD45RA- memory regulatory T cells	State_015	primary cell	25	year	adult	male
Blood & T-cell	11797-124C6	CD4+CD25+CD45RA- memory regulatory T cells, donor2	CD4+CD25+CD45RA- memory regulatory T cells	State_015	primary cell	23	year	adult	male
Blood & T-cell	11908-125F9	CD4+CD25+CD45RA- memory regulatory T cells, donor3	CD4+CD25+CD45RA- memory regulatory T cells	State_015	primary cell	23	year	adult	male
Blood & T-cell	11793-124C2	CD4+CD25+CD45RA+ naive regulatory T cells expanded, donor1	CD4+CD25+CD45RA+ naive regulatory T cells	State_016	primary cell	25	year	adult	male
Blood & T-cell	11915-125G7	CD4+CD25+CD45RA+ naive regulatory T cells expanded, donor2	CD4+CD25+CD45RA+ naive regulatory T cells	State_016	primary cell	23	year	adult	male
Blood & T-cell	11919-125H2	CD4+CD25+CD45RA+ naive regulatory T cells expanded, donor3	CD4+CD25+CD45RA+ naive regulatory T cells	State_016	primary cell	23	year	adult	male
Blood & T-cell	11907-125F8	CD4+CD25+CD45RA+ naive regulatory T cells, donor3	CD4+CD25+CD45RA+ naive regulatory T cells	State_016	primary cell	23	year	adult	male
Blood & T-cell	11226-116C2	CD8+ T Cells, donor1	CD8+ T Cells	State_017	primary cell	47	year	adult	male
Blood & T-cell	11307-117C2	CD8+ T Cells, donor2	CD8+ T Cells	State_017	primary cell	57	year	adult	male
Blood & T-cell	11383-118B6	CD8+ T Cells, donor3	CD8+ T Cells	State_017	primary cell	53	year	adult	male
Blood & T-cell	11937-126A2	gamma delta positive T cells, donor1	gamma delta positive T cells	State_018	primary cell	35	year	adult	male
Blood & T-cell	11938-126A3	gamma delta positive T cells, donor2	gamma delta positive T cells	State_018	primary cell	33	year	adult	male
Blood & T-cell	11487-119E2	Mast cell - stimulated, donor1	Mast cell	State_019	primary cell	76	year	adult	female
Blood & T-cell	11563-120D6	Mast cell, donor1	Mast cell	State_019	primary cell	76	year	adult	female
Blood & T-cell	11565-120D8	Mast cell, donor2	Mast cell	State_019	primary cell	50	year	adult	female
Blood & T-cell	11566-120D9	Mast cell, donor3	Mast cell	State_019	primary cell	41	year	adult	female
Blood & T-cell	11567-120E1	Mast cell, donor4	Mast cell	State_019	primary cell	67	year	adult	female
Blood & T-cell	11940-126A5	Mast cell, expanded and stimulated, donor5	Mast cell	State_019	primary cell	unknown		unknown	unknown
Blood & T-cell	11942-126A7	Mast cell, expanded and stimulated, donor8	Mast cell	State_019	primary cell	unknown		unknown	unknown
Blood & T-cell	11939-126A4	Mast cell, expanded, donor5	Mast cell	State_019	primary cell	unknown		unknown	unknown
Blood & T-cell	11941-126A6	Mast cell, expanded, donor8	Mast cell	State_019	primary cell	unknown		unknown	unknown
Blood & T-cell	11231-116C7	Peripheral Blood Mononuclear Cells, donor1	Peripheral Blood Mononuclear Cells	State_020	primary cell	47	year	adult	male
Blood & T-cell	11312-117C7	Peripheral Blood Mononuclear Cells, donor2	Peripheral Blood Mononuclear Cells	State_020	primary cell	65	year	adult	male
