Assay	BiosampleID	FileFormat	OutputType	FileName	LibraryID
CAGE	10399-106A3	bam	alignments	acute%20myeloid%20leukemia%20%28FAB%20M5%29%20cell%20line%3aTHP-1%20%28fresh%29.CNhs10722.10399-106A3	CNhs10722
CAGE	10400-106A4	bam	alignments	acute%20myeloid%20leukemia%20%28FAB%20M5%29%20cell%20line%3aTHP-1%20%28revived%29.CNhs10723.10400-106A4	CNhs10723
CAGE	10405-106A9	bam	alignments	acute%20myeloid%20leukemia%20%28FAB%20M5%29%20cell%20line%3aTHP-1%20%28thawed%29.CNhs10724.10405-106A9	CNhs10724
CAGE	10408-106B3	bam	alignments	lung%20adenocarcinoma%20cell%20line%3aPC-14.CNhs10726.10408-106B3	CNhs10726
CAGE	10409-106B4	bam	alignments	chronic%20myelogenous%20leukemia%20cell%20line%3aKU812.CNhs10727.10409-106B4	CNhs10727
CAGE	10410-106B5	bam	alignments	extraskeletal%20myxoid%20chondrosarcoma%20cell%20line%3aH-EMC-SS.CNhs10728.10410-106B5	CNhs10728
CAGE	10411-106B6	bam	alignments	renal%20cell%20carcinoma%20cell%20line%3aOS-RC-2.CNhs10729.10411-106B6	CNhs10729
CAGE	10412-106B7	bam	alignments	malignant%20trichilemmal%20cyst%20cell%20line%3aDJM-1.CNhs10730.10412-106B7	CNhs10730
CAGE	10413-106B8	bam	alignments	glioma%20cell%20line%3aGI-1.CNhs10731.10413-106B8	CNhs10731
CAGE	10414-106B9	bam	alignments	maxillary%20sinus%20tumor%20cell%20line%3aHSQ-89.CNhs10732.10414-106B9	CNhs10732
CAGE	10415-106C1	bam	alignments	gall%20bladder%20carcinoma%20cell%20line%3aTGBC2TKB.CNhs10733.10415-106C1	CNhs10733
CAGE	10416-106C2	bam	alignments	chronic%20lymphocytic%20leukemia%20%28T-CLL%29%20cell%20line%3aSKW-3.CNhs11714.10416-106C2	CNhs11714
CAGE	10417-106C3	bam	alignments	papillotubular%20adenocarcinoma%20cell%20line%3aTGBC18TKB.CNhs10734.10417-106C3	CNhs10734
CAGE	10418-106C4	bam	alignments	transitional-cell%20carcinoma%20cell%20line%3a5637.CNhs10735.10418-106C4	CNhs10735
CAGE	10419-106C5	bam	alignments	breast%20carcinoma%20cell%20line%3aMDA-MB-453.CNhs10736.10419-106C5	CNhs10736
CAGE	10420-106C6	bam	alignments	colon%20carcinoma%20cell%20line%3aCOLO-320.CNhs10737.10420-106C6	CNhs10737
CAGE	10421-106C7	bam	alignments	adult%20T-cell%20leukemia%20cell%20line%3aATN-1.CNhs10738.10421-106C7	CNhs10738
CAGE	10422-106C8	bam	alignments	Burkitt%27s%20lymphoma%20cell%20line%3aDAUDI.CNhs10739.10422-106C8	CNhs10739
CAGE	10423-106C9	bam	alignments	choriocarcinoma%20cell%20line%3aBeWo.CNhs10740.10423-106C9	CNhs10740
CAGE	10424-106D1	bam	alignments	splenic%20lymphoma%20with%20villous%20lymphocytes%20cell%20line%3aSLVL.CNhs10741.10424-106D1	CNhs10741
CAGE	10425-106D2	bam	alignments	astrocytoma%20cell%20line%3aTM-31.CNhs10742.10425-106D2	CNhs10742
CAGE	10426-106D3	bam	alignments	epidermoid%20carcinoma%20cell%20line%3aA431.CNhs10743.10426-106D3	CNhs10743
CAGE	10427-106D4	bam	alignments	b%20cell%20line%3aRPMI1788.CNhs10744.10427-106D4	CNhs10744
CAGE	10428-106D5	bam	alignments	anaplastic%20carcinoma%20cell%20line%3a8305C.CNhs10745.10428-106D5	CNhs10745
CAGE	10429-106D6	bam	alignments	acute%20lymphoblastic%20leukemia%20%28T-ALL%29%20cell%20line%3aHPB-ALL.CNhs10746.10429-106D6	CNhs10746
CAGE	10430-106D7	bam	alignments	non%20T%20non%20B%20acute%20lymphoblastic%20leukemia%20%28ALL%29%20cell%20line%3aP30%2fOHK.CNhs10747.10430-106D7	CNhs10747
CAGE	10431-106D8	bam	alignments	epidermoid%20carcinoma%20cell%20line%3aCa%20Ski.CNhs10748.10431-106D8	CNhs10748
CAGE	10432-106D9	bam	alignments	bile%20duct%20carcinoma%20cell%20line%3aHuCCT1.CNhs10750.10432-106D9	CNhs10750
CAGE	10433-106E1	bam	alignments	giant%20cell%20carcinoma%20cell%20line%3aLu99B.CNhs10751.10433-106E1	CNhs10751
CAGE	10434-106E2	bam	alignments	oral%20squamous%20cell%20carcinoma%20cell%20line%3aCa9-22.CNhs10752.10434-106E2	CNhs10752
CAGE	10435-106E3	bam	alignments	Hodgkin%27s%20lymphoma%20cell%20line%3aHD-Mar2.CNhs11715.10435-106E3	CNhs11715
CAGE	10436-106E4	bam	alignments	signet%20ring%20carcinoma%20cell%20line%3aKato%20III.CNhs10753.10436-106E4	CNhs10753
CAGE	10437-106E5	bam	alignments	papillary%20adenocarcinoma%20cell%20line%3a8505C.CNhs11716.10437-106E5	CNhs11716
CAGE	10438-106E6	bam	alignments	ductal%20cell%20carcinoma%20cell%20line%3aKLM-1.CNhs11100.10438-106E6	CNhs11100
CAGE	10439-106E7	bam	alignments	prostate%20cancer%20cell%20line%3aPC-3.CNhs11243.10439-106E7	CNhs11243
CAGE	10441-106E9	bam	alignments	synovial%20sarcoma%20cell%20line%3aHS-SY-II.CNhs11244.10441-106E9	CNhs11244
CAGE	10442-106F1	bam	alignments	schwannoma%20cell%20line%3aHS-PSS%2c%20tech_rep1.CNhs11183.10442-106F1	CNhs11183
CAGE	10443-106F2	bam	alignments	epithelioid%20sarcoma%20cell%20line%3aHS-ES-1.CNhs11247.10443-106F2	CNhs11247
CAGE	10444-106F3	bam	alignments	glioblastoma%20cell%20line%3aA172%2c%20tech_rep1.CNhs11185.10444-106F3	CNhs11185
CAGE	10448-106F7	bam	alignments	endometrial%20stromal%20sarcoma%20cell%20line%3aOMC-9.CNhs11249.10448-106F7	CNhs11249
CAGE	10449-106F8	bam	alignments	cord%20blood%20derived%20cell%20line%3aCOBL-a%20untreated.CNhs11045.10449-106F8	CNhs11045
CAGE	10450-106F9	bam	alignments	embryonic%20kidney%20cell%20line%3a%20HEK293%2fSLAM%20untreated.CNhs11046.10450-106F9	CNhs11046
CAGE	10451-106G1	bam	alignments	embryonic%20kidney%20cell%20line%3a%20HEK293%2fSLAM%20infection%2c%2024hr.CNhs11047.10451-106G1	CNhs11047
CAGE	10452-106G2	bam	alignments	cord%20blood%20derived%20cell%20line%3aCOBL-a%2024h%20infection%28-C%29.CNhs11049.10452-106G2	CNhs11049
CAGE	10453-106G3	bam	alignments	cord%20blood%20derived%20cell%20line%3aCOBL-a%2024h%20infection.CNhs11050.10453-106G3	CNhs11050
CAGE	10454-106G4	bam	alignments	chronic%20myelogenous%20leukemia%20cell%20line%3aK562.CNhs11250.10454-106G4	CNhs11250
CAGE	10455-106G5	bam	alignments	acute%20lymphoblastic%20leukemia%20%28B-ALL%29%20cell%20line%3aBALL-1.CNhs11251.10455-106G5	CNhs11251
CAGE	10457-106G7	bam	alignments	squamous%20cell%20lung%20carcinoma%20cell%20line%3aLC-1F.CNhs14238.10457-106G7	CNhs14238
CAGE	10463-106H4	bam	alignments	squamous%20cell%20carcinoma%20cell%20line%3aEC-GI-10.CNhs11252.10463-106H4	CNhs11252
CAGE	10464-106H5	bam	alignments	acute%20lymphoblastic%20leukemia%20%28T-ALL%29%20cell%20line%3aJurkat.CNhs11253.10464-106H5	CNhs11253
CAGE	10465-106H6	bam	alignments	melanoma%20cell%20line%3aG-361.CNhs11254.10465-106H6	CNhs11254
CAGE	10469-106I1	bam	alignments	rectal%20cancer%20cell%20line%3aTT1TKB.CNhs11255.10469-106I1	CNhs11255
CAGE	10470-106I2	bam	alignments	gall%20bladder%20carcinoma%20cell%20line%3aTGBC14TKB.CNhs11256.10470-106I2	CNhs11256
CAGE	10471-106I3	bam	alignments	renal%20cell%20carcinoma%20cell%20line%3aTUHR10TKB.CNhs11257.10471-106I3	CNhs11257
CAGE	10474-106I6	bam	alignments	myeloma%20cell%20line%3aPCM6.CNhs11258.10474-106I6	CNhs11258
CAGE	10475-106I7	bam	alignments	retinoblastoma%20cell%20line%3aY79.CNhs11267.10475-106I7	CNhs11267
CAGE	10476-106I8	bam	alignments	Burkitt%27s%20lymphoma%20cell%20line%3aRAJI.CNhs11268.10476-106I8	CNhs11268
CAGE	10477-106I9	bam	alignments	rhabdomyosarcoma%20cell%20line%3aRMS-YM.CNhs11269.10477-106I9	CNhs11269
CAGE	10482-107A5	bam	alignments	breast%20carcinoma%20cell%20line%3aMCF7.CNhs11943.10482-107A5	CNhs11943
CAGE	10483-107A6	bam	alignments	signet%20ring%20carcinoma%20cell%20line%3aNUGC-4.CNhs11270.10483-107A6	CNhs11270
CAGE	10484-107A7	bam	alignments	hepatoma%20cell%20line%3aLi-7.CNhs11271.10484-107A7	CNhs11271
CAGE	10485-107A8	bam	alignments	glioblastoma%20cell%20line%3aT98G.CNhs11272.10485-107A8	CNhs11272
CAGE	10486-107A9	bam	alignments	squamous%20cell%20lung%20carcinoma%20cell%20line%3aEBC-1.CNhs11273.10486-107A9	CNhs11273
CAGE	10487-107B1	bam	alignments	giant%20cell%20carcinoma%20cell%20line%3aLU65.CNhs11274.10487-107B1	CNhs11274
CAGE	10488-107B2	bam	alignments	ductal%20cell%20carcinoma%20cell%20line%3aMIA%20Paca2.CNhs11259.10488-107B2	CNhs11259
CAGE	10490-107B4	bam	alignments	prostate%20cancer%20cell%20line%3aDU145.CNhs11260.10490-107B4	CNhs11260
CAGE	10492-107B6	bam	alignments	transitional-cell%20carcinoma%20cell%20line%3aJMSU1.CNhs11261.10492-107B6	CNhs11261
CAGE	10493-107B7	bam	alignments	mesothelioma%20cell%20line%3aACC-MESO-1.CNhs11263.10493-107B7	CNhs11263
CAGE	10494-107B8	bam	alignments	mesothelioma%20cell%20line%3aACC-MESO-4.CNhs11264.10494-107B8	CNhs11264
CAGE	10495-107B9	bam	alignments	epithelioid%20sarcoma%20cell%20line%3aHS-ES-2R.CNhs14239.10495-107B9	CNhs14239
CAGE	10496-107C1	bam	alignments	bile%20duct%20carcinoma%20cell%20line%3aTFK-1.CNhs11265.10496-107C1	CNhs11265
CAGE	10497-107C2	bam	alignments	endometrial%20carcinoma%20cell%20line%3aOMC-2.CNhs11266.10497-107C2	CNhs11266
CAGE	10499-107C4	bam	alignments	lung%20adenocarcinoma%20cell%20line%3aA549.CNhs11275.10499-107C4	CNhs11275
CAGE	10501-107C6	bam	alignments	squamous%20cell%20lung%20carcinoma%20cell%20line%3aRERF-LC-AI.CNhs14240.10501-107C6	CNhs14240
CAGE	10508-107D4	bam	alignments	neuroblastoma%20cell%20line%3aCHP-134.CNhs11276.10508-107D4	CNhs11276
CAGE	10509-107D5	bam	alignments	large%20cell%20lung%20carcinoma%20cell%20line%3aIA-LM.CNhs11277.10509-107D5	CNhs11277
CAGE	10510-107D6	bam	alignments	osteosarcoma%20cell%20line%3a143B%2fTK%5e%28-%29neo%5e%28R%29.CNhs11279.10510-107D6	CNhs11279
CAGE	10513-107D9	bam	alignments	colon%20carcinoma%20cell%20line%3aCACO-2.CNhs11280.10513-107D9	CNhs11280
CAGE	10514-107E1	bam	alignments	melanoma%20cell%20line%3aCOLO%20679.CNhs11281.10514-107E1	CNhs11281
CAGE	10534-107G3	bam	alignments	acute%20lymphoblastic%20leukemia%20%28B-ALL%29%20cell%20line%3aNALM-6.CNhs11282.10534-107G3	CNhs11282
CAGE	10536-107G5	bam	alignments	cholangiocellular%20carcinoma%20cell%20line%3aHuH-28.CNhs11283.10536-107G5	CNhs11283
CAGE	10539-107G8	bam	alignments	neuroblastoma%20cell%20line%3aNB-1.CNhs11284.10539-107G8	CNhs11284
CAGE	10541-107H1	bam	alignments	small%20cell%20lung%20carcinoma%20cell%20line%3aLK-2.CNhs11285.10541-107H1	CNhs11285
CAGE	10544-107H4	bam	alignments	oral%20squamous%20cell%20carcinoma%20cell%20line%3aSAS.CNhs11810.10544-107H4	CNhs11810
CAGE	10545-107H5	bam	alignments	oral%20squamous%20cell%20carcinoma%20cell%20line%3aHSC-3.CNhs11717.10545-107H5	CNhs11717
CAGE	10549-107H9	bam	alignments	gastric%20cancer%20cell%20line%3aAZ521.CNhs11286.10549-107H9	CNhs11286
CAGE	10550-107I1	bam	alignments	oral%20squamous%20cell%20carcinoma%20cell%20line%3aHO-1-u-1.CNhs11287.10550-107I1	CNhs11287
CAGE	10552-107I3	bam	alignments	cervical%20cancer%20cell%20line%3aD98-AH2.CNhs11288.10552-107I3	CNhs11288
CAGE	10553-107I4	bam	alignments	cervical%20cancer%20cell%20line%3aME-180.CNhs11289.10553-107I4	CNhs11289
CAGE	10555-107I6	bam	alignments	neuroblastoma%20cell%20line%3aNH-12.CNhs11811.10555-107I6	CNhs11811
